index,row_key,parameter,value_M,relation,species,source_has_identifier,current_source,candidate_identifier,support_verdict,recommended_addition_or_limitation,evidence_url
1,imidacloprid/insect_nAChR,EC50,2e-08,exact_compound_related_receptor,Ctenocephalides felis alpha1/alpha2 + Gallus gallus beta2 hybrid,True,"Dederer H, Werr M, Ilg T (2011) Insect Biochem Mol Biol 41(1):51-61. DOI 10.1016/j.ibmb.2010.09.012; PMID 20933086. Imidacloprid EC50 was 0.02 uM on cat-flea Cfalpha1/chicken Gg-beta2 hybrid receptors. The same paper also studied Drosophila alpha subunits with chicken beta2, but the 0.02 uM value is not a Drosophila receptor measurement. This unchanged library value is therefore an E2 related-receptor functional-engagement proxy, not binding occupancy.",10.1016/j.ibmb.2010.09.012; PMID 20933086,"direct, transferred","0.02 µM is on cat-flea alpha/chicken beta2 hybrid, not Drosophila. Retain E2 proxy; specify preparation.",https://pubmed.ncbi.nlm.nih.gov/20933086/
2,imidacloprid/vertebrate_nAChR_a4b2,EC50,1e-05,class_extrapolation,mammalian (review-level contrast),False,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (imidacloprid selectivity for insect over vertebrate nAChR is >1000-fold; vertebrate potency in the micromolar order). Order-of-magnitude selectivity contrast, kept from FlyLab v0.4.",10.1146/annurev.pharmtox.45.120403.095930,class-order extrapolation,Review supports insect/mammal contrast; 10 µM is not a measured human alpha4beta2 EC50. Label illustrative.,https://doi.org/10.1146/annurev.pharmtox.45.120403.095930
3,imidacloprid/insect_nAChR_native_dmel,Kd,2e-09,exact_compound_exact_receptor_exact_species,Drosophila melanogaster (native head membranes; nAChR population not resolved to subunits),True,"Tomizawa, Latli and Casida 1996, J Neurochem 67(4):1669-1676, doi:10.1046/j.1471-4159.1996.67041669.x, PMID 8858952 (""Head membranes of Drosophila melanogaster and Musca domestica have a single high-affinity binding site for [3H]IMI with KD values of 1-2 nM and Bmax values of 560-850 fmol/mg of protein""). This is a radioligand saturation Kd measured on the MODELLED organism, which is why it is the library's only binding_occupancy row. Two honest limits are recorded rather than smoothed over: (a) the publication states the 1-2 nM range for Drosophila and Musca jointly and does not resolve the Drosophila-only value, so FlyLab takes the conservative (weakest-affinity) end, 2.0e-9 M, and the tier stays literature_order; (b) the preparation is native head membranes and resolves NO subunit - the companion photoaffinity study (Tomizawa and Casida 1997, Neurosci Lett 237:61, PMID 9453215, doi:10.1016/s0304-3940(97)00811-2) labels a single 66 kDa ligand-binding polypeptide of the Drosophila nAChR without assigning it to a named Dalpha/Dbeta subunit - so the row sits on the preparation-resolved key insect_nAChR_native_dmel and makes no subunit claim. It does not replace the Dederer hybrid-receptor EC50 on the aggregate insect_nAChR key, which is a functional potency and stays where it was.",10.1046/j.1471-4159.1996.67041669.x; PMID 8858952,direct range,"Native-head-membrane Drosophila/Musca Kd 1-2 nM jointly; 2 nM is range endpoint, not Drosophila-specific or subunit-specific.",https://pubmed.ncbi.nlm.nih.gov/8858952/
4,imidacloprid/insect_nAChR_beta1,Kd,8.3e-11,exact_compound_exact_receptor_other_species,"Myzus persicae (native beta1-containing nAChR, susceptible clone 4106A)",True,"Bass et al. 2011, BMC Neuroscience 12:51, doi:10.1186/1471-2202-12-51 ([3H]-imidacloprid saturation binding on whole-body membranes: the susceptible 4106A clone has two sites, Kd 0.083 +/- 0.0085 nM (Bmax 100 fmol/mg) and Kd 1.7 +/- 0.65 nM (Bmax 298 fmol/mg); the R81T mutation in the nAChR beta1 subunit abolishes the high-affinity site, leaving a single Kd 4.14 +/- 0.39 nM site in the resistant FRC clone). FlyLab uses the high-affinity Kd = 8.3e-11 M. This is a genuine equilibrium dissociation constant from a radioligand binding assay, but it was measured in an APHID, not in Drosophila. Under the v0.6.1 rule a binding constant licenses physical binding_occupancy only with relation exact_compound_exact_receptor_exact_species, so this row sits at evidence distance E1 and drives binding_engagement_proxy: the same Hill number, reported as an engagement proxy derived from a binding constant measured in another species, and carrying a provenance warning that names the gap. The transfer of an aphid beta1 affinity to the Drosophila Dbeta1 receptor is an assumption, not a measurement.",10.1186/1471-2202-12-51,"direct, transferred",0.083 nM aphid high-affinity binding site; beta1 mutation association does not make this Drosophila Dbeta1 affinity. Retain E1 proxy only.,https://doi.org/10.1186/1471-2202-12-51
5,nitenpyram/insect_nAChR,EC50,5e-08,class_extrapolation,insect (review-level class statement),False,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (nitrocontaining neonicotinoids bind insect nAChR with low-nM to tens-of-nM affinity). Class-order value kept unchanged from FlyLab v0.4. TYPING NOTE (v0.6): the cited review mixes [3H]imidacloprid displacement affinities with functional potencies, so this row is typed as the weaker claim (EC50 / class_extrapolation) and drives functional_engagement only.",10.1146/annurev.pharmtox.45.120403.095930,class-order extrapolation,"Review discusses neonicotinoid binding classes, not nitenpyram functional EC50 50 nM. Do not call measured EC50.",https://doi.org/10.1146/annurev.pharmtox.45.120403.095930
6,nitenpyram/vertebrate_nAChR_a4b2,EC50,2e-05,class_extrapolation,mammalian (review-level contrast),False,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (vertebrate nAChR potency of nitro-neonicotinoids is micromolar or weaker). Order-of-magnitude selectivity contrast, kept from FlyLab v0.4.",10.1146/annurev.pharmtox.45.120403.095930,class-order extrapolation,20 µM is not a measured human alpha4beta2 EC50 for nitenpyram. Keep illustrative only.,https://doi.org/10.1146/annurev.pharmtox.45.120403.095930
7,nicotine/insect_nAChR,EC50,2e-07,exact_compound_related_receptor,Drosophila melanogaster Dalpha1 + Gallus gallus beta2 hybrid,False,"Ihara et al. 2018, Br J Pharmacol 175:1999 (Drosophila Dalpha1/chicken beta2 hybrid nAChR; nicotine active in the sub-micromolar order). Value kept unchanged from FlyLab v0.4.",10.1111/bph.13914; PMID 28616862,paper verified; value unconfirmed,Drosophila Dalpha1/chicken beta2 hybrid studied. Check figure/table for nicotine EC50 0.2 µM before claiming direct numerical support.,https://pubmed.ncbi.nlm.nih.gov/28616862/
8,nicotine/vertebrate_nAChR_a4b2,EC50,1e-06,exact_compound_exact_receptor_other_species,Homo sapiens alpha4beta2 in Xenopus oocytes,False,"Chavez-Noriega et al. 1997, J Pharmacol Exp Ther 280:346 (human alpha4beta2 expressed in oocytes; nicotine EC50 in the low-micromolar order). Value kept unchanged from FlyLab v0.4.",PMID 8996215,paper verified; value unconfirmed,Human alpha4beta2 oocyte pharmacology exists; nicotine 1 µM requires primary table check and stoichiometry context.,https://pubmed.ncbi.nlm.nih.gov/8996215/
9,diazepam/vertebrate_GABA_A,EC50,1e-08,exact_compound_exact_receptor_other_species,mammalian alpha1beta2gamma2 GABA-A,False,"Sigel and Ernst 2018, Trends Pharmacol Sci 39:659 (benzodiazepine site of alpha1beta2gamma2 GABA-A; diazepam potentiation in the 10 nM order). Value kept unchanged from FlyLab v0.4. TYPING NOTE (v0.6): a genuine benzodiazepine-site Kd exists in the radioligand literature ([3H]flunitrazepam displacement), but the value used here comes from a POTENTIATION measurement, so the row is typed EC50 and, the preparation being a mammalian (non-Drosophila) receptor at evidence distance E1, reports functional_engagement_proxy, not binding occupancy. Upgrading it to Kd would require citing the binding study instead.",10.1016/j.tips.2018.03.006,review; value unverified,"Review of benzodiazepine binding sites is not a direct 10 nM diazepam potentiation assay. Locate primary study, state GABA co-application and assay conditions.",https://doi.org/10.1016/j.tips.2018.03.006
10,fipronil/vertebrate_GABA_A,IC50,1.1e-06,exact_compound_exact_receptor_other_species,Homo sapiens recombinant GABA-A ([3H]EBOB displacement),False,"Ratra and Casida 2001, Toxicol Lett 122:215 ([3H]EBOB displacement, human recombinant GABA-A): vertebrate average IC50 for fipronil is 1103 nM = 1.1e-6 M. CORRECTED in v0.5: FlyLab v0.4 carried 1.0e-05 M while citing this same paper, so the library contradicted its own citation; the value is now the cited one. SUBUNIT CAVEAT: the human beta3 HOMOpentamer is far more sensitive, 0.5-2.4 nM (Ratra, Kamita and Casida 2001, Toxicol Appl Pharmacol 172:233), so the 'vertebrate-safe' reading of this row applies to native heteromeric receptors only, not to beta3 homomers.",10.1021/tx980157t; PMID 9860498,numeric direct; citation/species wrong,"1103 nM comes from Hainzl et al. 1998, multi-vertebrate [3H]EBOB displacement average. Replace Ratra attribution and human-recombinant label.",https://pubmed.ncbi.nlm.nih.gov/9860498/
