compound,receptor,param_type,value_M,hill_n,direction,relation,evidence_distance,species,evidence_tier,engagement_model,source
imidacloprid,insect_nAChR,EC50,2e-08,1.2,agonist,exact_compound_related_receptor,E2,Ctenocephalides felis alpha1/alpha2 + Gallus gallus beta2 hybrid,literature_order,functional_engagement_proxy,"Dederer H, Werr M, Ilg T (2011) Insect Biochem Mol Biol 41(1):51-61. DOI 10.1016/j.ibmb.2010.09.012; PMID 20933086. Imidacloprid EC50 was 0.02 uM on cat-flea Cfalpha1/chicken Gg-beta2 hybrid receptors. The same paper also studied Drosophila alpha subunits with chicken beta2, but the 0.02 uM value is not a Drosophila receptor measurement. This unchanged library value is therefore an E2 related-receptor functional-engagement proxy, not binding occupancy."
imidacloprid,vertebrate_nAChR_a4b2,EC50,1e-05,1.0,agonist,class_extrapolation,E3,mammalian (review-level contrast),literature_order,functional_engagement_proxy,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (imidacloprid selectivity for insect over vertebrate nAChR is >1000-fold; vertebrate potency in the micromolar order). Order-of-magnitude selectivity contrast, kept from FlyLab v0.4."
imidacloprid,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder: no neonicotinoid action at GABA-A assumed
imidacloprid,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder: no neonicotinoid action at RDL assumed
imidacloprid,insect_nAChR_native_dmel,Kd,2e-09,1.0,agonist,exact_compound_exact_receptor_exact_species,E0,Drosophila melanogaster (native head membranes; nAChR population not resolved to subunits),literature_order,binding_occupancy,"Tomizawa, Latli and Casida 1996, J Neurochem 67(4):1669-1676, doi:10.1046/j.1471-4159.1996.67041669.x, PMID 8858952 (""Head membranes of Drosophila melanogaster and Musca domestica have a single high-affinity binding site for [3H]IMI with KD values of 1-2 nM and Bmax values of 560-850 fmol/mg of protein""). This is a radioligand saturation Kd measured on the MODELLED organism, which is why it is the library's only binding_occupancy row. Two honest limits are recorded rather than smoothed over: (a) the publication states the 1-2 nM range for Drosophila and Musca jointly and does not resolve the Drosophila-only value, so FlyLab takes the conservative (weakest-affinity) end, 2.0e-9 M, and the tier stays literature_order; (b) the preparation is native head membranes and resolves NO subunit - the companion photoaffinity study (Tomizawa and Casida 1997, Neurosci Lett 237:61, PMID 9453215, doi:10.1016/s0304-3940(97)00811-2) labels a single 66 kDa ligand-binding polypeptide of the Drosophila nAChR without assigning it to a named Dalpha/Dbeta subunit - so the row sits on the preparation-resolved key insect_nAChR_native_dmel and makes no subunit claim. It does not replace the Dederer hybrid-receptor EC50 on the aggregate insect_nAChR key, which is a functional potency and stays where it was."
imidacloprid,insect_nAChR_beta1,Kd,8.3e-11,1.0,agonist,exact_compound_exact_receptor_other_species,E1,"Myzus persicae (native beta1-containing nAChR, susceptible clone 4106A)",literature_order,binding_engagement_proxy,"Bass et al. 2011, BMC Neuroscience 12:51, doi:10.1186/1471-2202-12-51 ([3H]-imidacloprid saturation binding on whole-body membranes: the susceptible 4106A clone has two sites, Kd 0.083 +/- 0.0085 nM (Bmax 100 fmol/mg) and Kd 1.7 +/- 0.65 nM (Bmax 298 fmol/mg); the R81T mutation in the nAChR beta1 subunit abolishes the high-affinity site, leaving a single Kd 4.14 +/- 0.39 nM site in the resistant FRC clone). FlyLab uses the high-affinity Kd = 8.3e-11 M. This is a genuine equilibrium dissociation constant from a radioligand binding assay, but it was measured in an APHID, not in Drosophila. Under the v0.6.1 rule a binding constant licenses physical binding_occupancy only with relation exact_compound_exact_receptor_exact_species, so this row sits at evidence distance E1 and drives binding_engagement_proxy: the same Hill number, reported as an engagement proxy derived from a binding constant measured in another species, and carrying a provenance warning that names the gap. The transfer of an aphid beta1 affinity to the Drosophila Dbeta1 receptor is an assumption, not a measurement."
nitenpyram,insect_nAChR,EC50,5e-08,1.2,agonist,class_extrapolation,E3,insect (review-level class statement),literature_order,functional_engagement_proxy,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (nitrocontaining neonicotinoids bind insect nAChR with low-nM to tens-of-nM affinity). Class-order value kept unchanged from FlyLab v0.4. TYPING NOTE (v0.6): the cited review mixes [3H]imidacloprid displacement affinities with functional potencies, so this row is typed as the weaker claim (EC50 / class_extrapolation) and drives functional_engagement only."
nitenpyram,vertebrate_nAChR_a4b2,EC50,2e-05,1.0,agonist,class_extrapolation,E3,mammalian (review-level contrast),literature_order,functional_engagement_proxy,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (vertebrate nAChR potency of nitro-neonicotinoids is micromolar or weaker). Order-of-magnitude selectivity contrast, kept from FlyLab v0.4."
nitenpyram,vertebrate_GABA_A,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
nitenpyram,insect_RDL,unknown,,1.0,none,unsupported,E4,,class_placeholder,not_modelled,class-order placeholder
