compound,assay,mode,n,p_two_sided,p_resolution,z,beats_null_at_0.05
imidacloprid,subgraph,sign_permute,25,0.19230769230769232,0.038461538461538464,-1.3677838666437285,False
imidacloprid,subgraph,sign_permute,50,0.2549019607843137,0.0196078431372549,-1.2276405339475964,False
imidacloprid,subgraph,sign_permute,100,0.26732673267326734,0.009900990099009901,-1.2126335911064965,False
imidacloprid,subgraph,sign_permute,200,0.25870646766169153,0.004975124378109453,-1.2333795486852728,False
imidacloprid,subgraph,sign_permute,400,0.26683291770573564,0.0024937655860349127,-1.2369430970482416,False
imidacloprid,subgraph,sign_permute,1000,0.27472527472527475,0.000999000999000999,-1.2291197992117913,False
imidacloprid,subgraph,weight_permute,25,0.5769230769230769,0.038461538461538464,-0.49754969199825194,False
imidacloprid,subgraph,weight_permute,50,0.5294117647058824,0.0196078431372549,-0.5346730469448375,False
imidacloprid,subgraph,weight_permute,100,0.5841584158415841,0.009900990099009901,-0.48120539341594515,False
imidacloprid,subgraph,weight_permute,200,0.5572139303482587,0.004975124378109453,-0.49021901332602996,False
imidacloprid,subgraph,weight_permute,400,0.5985037406483791,0.0024937655860349127,-0.4838006180066564,False
imidacloprid,subgraph,weight_permute,1000,0.5864135864135864,0.000999000999000999,-0.5018759338600395,False
imidacloprid,subgraph,rewire_degree_preserving,25,0.23076923076923078,0.038461538461538464,-0.9361304311957462,False
imidacloprid,subgraph,rewire_degree_preserving,50,0.37254901960784315,0.0196078431372549,-0.7937360106107446,False
imidacloprid,subgraph,rewire_degree_preserving,100,0.38613861386138615,0.009900990099009901,-0.795177948294944,False
imidacloprid,subgraph,rewire_degree_preserving,200,0.417910447761194,0.004975124378109453,-0.7425717553539198,False
imidacloprid,subgraph,rewire_degree_preserving,400,0.4837905236907731,0.0024937655860349127,-0.6687745654517304,False
imidacloprid,subgraph,rewire_degree_preserving,1000,0.47152847152847155,0.000999000999000999,-0.7203920758994491,False
imidacloprid,subgraph,erdos_renyi,25,0.038461538461538464,0.038461538461538464,-51.84572457924769,True
imidacloprid,subgraph,erdos_renyi,50,0.0196078431372549,0.0196078431372549,-45.68337098392474,True
imidacloprid,subgraph,erdos_renyi,100,0.009900990099009901,0.009900990099009901,-43.65512929064837,True
imidacloprid,subgraph,erdos_renyi,200,0.004975124378109453,0.004975124378109453,-47.22780438906387,True
imidacloprid,subgraph,erdos_renyi,400,0.0024937655860349127,0.0024937655860349127,-50.179235131314506,True
imidacloprid,subgraph,erdos_renyi,1000,0.000999000999000999,0.000999000999000999,-47.073553597145505,True
fipronil,subgraph,sign_permute,25,0.15384615384615385,0.038461538461538464,1.5768181699419992,False
fipronil,subgraph,sign_permute,50,0.17647058823529413,0.0196078431372549,1.6817027476951956,False
fipronil,subgraph,sign_permute,100,0.12871287128712872,0.009900990099009901,1.7304529543385274,False
fipronil,subgraph,sign_permute,200,0.11940298507462686,0.004975124378109453,1.7696149382597155,False
fipronil,subgraph,sign_permute,400,0.10224438902743142,0.0024937655860349127,1.710161882344183,False
fipronil,subgraph,sign_permute,1000,0.11288711288711288,0.000999000999000999,1.6804375405898477,False
fipronil,subgraph,weight_permute,25,0.038461538461538464,0.038461538461538464,3.492645711522796,True
fipronil,subgraph,weight_permute,50,0.0196078431372549,0.0196078431372549,3.3720722056322088,True
fipronil,subgraph,weight_permute,100,0.009900990099009901,0.009900990099009901,3.2266400160246165,True
fipronil,subgraph,weight_permute,200,0.009950248756218905,0.004975124378109453,3.066427812180562,True
fipronil,subgraph,weight_permute,400,0.007481296758104738,0.0024937655860349127,3.048971049383595,True
fipronil,subgraph,weight_permute,1000,0.005994005994005994,0.000999000999000999,3.1081154079500792,True
fipronil,subgraph,rewire_degree_preserving,25,0.038461538461538464,0.038461538461538464,4.549606799982356,True
fipronil,subgraph,rewire_degree_preserving,50,0.0392156862745098,0.0196078431372549,3.016014846141132,True
fipronil,subgraph,rewire_degree_preserving,100,0.0297029702970297,0.009900990099009901,2.7953174773885587,True
fipronil,subgraph,rewire_degree_preserving,200,0.014925373134328358,0.004975124378109453,2.895918240613533,True
fipronil,subgraph,rewire_degree_preserving,400,0.007481296758104738,0.0024937655860349127,3.0823739119193365,True
fipronil,subgraph,rewire_degree_preserving,1000,0.006993006993006993,0.000999000999000999,2.952113032120801,True
fipronil,subgraph,erdos_renyi,25,0.038461538461538464,0.038461538461538464,2265.62752084811,True
fipronil,subgraph,erdos_renyi,50,0.0196078431372549,0.0196078431372549,1355.2482275333407,True
fipronil,subgraph,erdos_renyi,100,0.009900990099009901,0.009900990099009901,616.7058609933105,True
fipronil,subgraph,erdos_renyi,200,0.004975124378109453,0.004975124378109453,850.7807295797711,True
fipronil,subgraph,erdos_renyi,400,0.0024937655860349127,0.0024937655860349127,895.2656116784843,True
fipronil,subgraph,erdos_renyi,1000,0.000999000999000999,0.000999000999000999,657.4085945220143,True
fipronil,taste_map,sign_permute,8,0.6666666666666666,0.1111111111111111,-0.38479077668604084,False
fipronil,taste_map,sign_permute,15,0.6428571428571429,0.07142857142857142,0.2656812888883615,False
fipronil,taste_map,sign_permute,30,0.6206896551724138,0.034482758620689655,0.30368355078938125,False
fipronil,taste_map,sign_permute,60,0.45614035087719296,0.017543859649122806,0.40915106049193084,False
fipronil,taste_map,sign_permute,120,0.38738738738738737,0.009009009009009009,0.18680978101734322,False
fipronil,taste_map,sign_permute,300,0.4166666666666667,0.0036231884057971015,0.10528405393322808,False
fipronil,taste_map,weight_permute,8,0.6666666666666666,0.1111111111111111,0.3148320245259325,False
fipronil,taste_map,weight_permute,15,1.0,0.0625,0.0647856558193352,False
fipronil,taste_map,weight_permute,30,0.9655172413793104,0.034482758620689655,0.14859324803498375,False
fipronil,taste_map,weight_permute,60,1.0,0.018518518518518517,0.010348398206981343,False
fipronil,taste_map,weight_permute,120,0.9814814814814815,0.009259259259259259,-0.02078080576665048,False
fipronil,taste_map,weight_permute,300,0.8787878787878788,0.003787878787878788,0.08338722294294257,False
fipronil,taste_map,rewire_degree_preserving,8,0.6666666666666666,0.1111111111111111,0.43606715597988693,False
fipronil,taste_map,rewire_degree_preserving,15,0.5625,0.0625,0.6117552952265888,False
fipronil,taste_map,rewire_degree_preserving,30,0.3870967741935484,0.03225806451612903,0.6664636874147312,False
fipronil,taste_map,rewire_degree_preserving,60,0.3114754098360656,0.01639344262295082,0.38573533245811387,False
fipronil,taste_map,rewire_degree_preserving,120,0.2727272727272727,0.008264462809917356,0.4480963690473424,False
fipronil,taste_map,rewire_degree_preserving,300,0.2026578073089701,0.0033222591362126247,0.2199798112275568,False
fipronil,taste_map,erdos_renyi,8,0.4444444444444444,0.1111111111111111,0.6330347558474843,False
fipronil,taste_map,erdos_renyi,15,0.375,0.0625,0.676194805542244,False
fipronil,taste_map,erdos_renyi,30,0.41935483870967744,0.03225806451612903,0.5185671390034766,False
fipronil,taste_map,erdos_renyi,60,0.4576271186440678,0.01694915254237288,0.5432520632036227,False
fipronil,taste_map,erdos_renyi,120,0.30357142857142855,0.008928571428571428,0.23537007139585384,False
fipronil,taste_map,erdos_renyi,300,0.24475524475524477,0.0034965034965034965,0.19844034305095073,False
