compound,conc_M,real_effect,class,necessary_level,p_sign,p_weight,p_degree,p_ER
acetamiprid,1e-08,0.19091781755964465,composition-dominated,degree_sequence,0.504950495049505,0.19801980198019803,0.9405940594059405,0.009900990099009901
acetamiprid,1e-07,-3.377888997795963,composition-dominated,degree_sequence,0.297029702970297,0.43564356435643564,0.7722772277227723,0.009900990099009901
acetamiprid,1e-06,-6.17278216613422,composition-dominated,degree_sequence,0.26732673267326734,0.5841584158415841,0.38613861386138615,0.009900990099009901
acetamiprid,1e-05,-6.17278216613422,composition-dominated,degree_sequence,0.26732673267326734,0.5841584158415841,0.38613861386138615,0.009900990099009901
acetylcholine,1e-08,0.0007607670748654982,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
acetylcholine,1e-07,0.011839023579403474,composition-dominated,degree_sequence,0.48514851485148514,0.2079207920792079,0.9405940594059405,0.009900990099009901
acetylcholine,1e-06,0.13799221453647537,composition-dominated,degree_sequence,0.49504950495049505,0.19801980198019803,0.9405940594059405,0.009900990099009901
acetylcholine,1e-05,-1.4378006330560869,composition-dominated,degree_sequence,0.3465346534653465,0.297029702970297,0.8910891089108911,0.009900990099009901
caffeine,1e-08,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
caffeine,1e-07,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
caffeine,1e-06,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
caffeine,1e-05,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
chlordimeform,1e-08,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
chlordimeform,1e-07,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
chlordimeform,1e-06,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
chlordimeform,1e-05,0.0,no-effect,none_required,1.0,1.0,1.0,1.0
