compound,class,conc_M,A_receptor_only,B_composition_only,C_topology_only,D_full_flylab,C_topology_only_floor,B_composition_only_alt_sign
acetamiprid,neonicotinoid,1e-08,0.12660394045839746,0.5434273849238309,0.8666947904179922,0.19091781755964465,-0.8484771650770231,0.5434273849238309
acetylcholine,endogenous transmitter,1e-08,0.0002511255632614619,0.002181662009594021,0.0016995002106785506,0.0007607670748654982,-0.0016994287526204133,0.002181662009590468
caffeine,methylxanthine,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
chlordimeform,formamidine,1e-08,0.00033322225924691765,0.0,0.0022551077086276905,0.0,-0.002254981892195751,0.0
chlorpyrifos_oxon,organophosphate (oxon metabolite),1e-08,0.0,0.0,0.0,0.0,0.0,0.0
clothianidin,neonicotinoid,1e-08,0.21109548169995912,0.28567483537513993,1.4577714989444743,0.10000529217663079,-1.4068481558545844,0.28567483537513993
ddt,organochlorine,1e-08,0.0001538224888478696,0.0024942193617985,0.0010409900876169331,0.003091907228121471,-0.0010409632768650923,0.0021729134170644926
deltamethrin,type II pyrethroid,1e-08,0.18867924528301888,3.059418881329808,1.299846281792596,4.40482935703646,-1.2592332084664735,2.665303797044139
diazepam,benzodiazepine,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
dieldrin,cyclodiene organochlorine,1e-08,-0.09090909090909091,1.0479573712255768,0.6202059367630355,0.07085762022170528,-0.6108266719415321,1.0479573712255768
fipronil,phenylpyrazole,1e-08,-0.21109548169995912,2.4334097268787467,1.4577714989444743,0.16838507486121923,-1.4068481558545844,2.4334097268787467
gaba,endogenous transmitter,1e-08,2.8284191247688173e-06,-1.3041875751795828e-05,-1.914100907640659e-05,-8.671055358178137e-07,-1.914100907640659e-05,-1.3041875751795828e-05
imidacloprid,neonicotinoid,1e-08,2.128371201276027,-0.5619540335517534,-6.16942921588497,-0.19448112604907042,-6.16942921588497,-0.561954033551757
ivermectin,avermectin,1e-08,0.3333333333333333,0.15914742451154495,-2.2062443457865166,-0.012538678824231653,-2.2062443457865166,-0.21219656601539683
nicotine,alkaloid,1e-08,0.03573258979278535,0.26632603274667943,0.2425580711801283,0.09320704732198237,-0.24111095251410664,0.2663260327466759
nitenpyram,neonicotinoid,1e-08,0.12660394045839746,0.5434273849238309,0.8666947904179922,0.19091781755964465,-0.8484771650770231,0.5434273849238309
permethrin,type I pyrethroid,1e-08,0.024390243902439025,0.3954858553914189,0.16540112475481283,0.5000584660495315,-0.1647269834625824,0.34453927132521933
picrotoxin,plant convulsant,1e-08,-0.009900990099009903,0.11413397112357693,0.06705978169748672,0.00760206859210566,-0.06694870199260894,0.11413397112357693
spinosad,spinosyn,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
sulfoxaflor,sulfoximine,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
thiamethoxam,neonicotinoid,1e-08,9.999000099990002e-05,0.0008691922629786575,0.000676676937835019,0.00030309050857635356,-0.0006766656090730905,0.0008691922629751048
acetamiprid,neonicotinoid,1e-07,0.6967304549770723,-10.80994671403197,-4.5486923560284005,-3.377888997795963,-4.5486923560284005,-9.417406749555951
acetylcholine,endogenous transmitter,1e-07,0.003965285619152201,0.03393625144298085,0.026843564886990023,0.011839023579403474,-0.02682574850180952,0.03393625144298085
caffeine,methylxanthine,1e-07,0.0,0.0,0.0,0.0,0.0,0.0
chlordimeform,formamidine,1e-07,0.0033222591362126247,0.0,0.022489289137381796,0.0,-0.02247678259486463,0.0
chlorpyrifos_oxon,organophosphate (oxon metabolite),1e-07,0.0,0.0,0.0,0.0,0.0,0.0
clothianidin,neonicotinoid,1e-07,0.8091918198317981,-10.80994671403197,-5.268790309171518,-4.773623977900712,-5.268790309171518,-9.417406749555951
ddt,organochlorine,1e-07,0.0015360983102918587,0.02490771132265479,0.010396713702393257,0.030911376259251888,-0.01039404003389599,0.021699093892983967
