spec,g_ach_imidacloprid,g_gaba_fipronil,mean_si_gap_nicotinic,mean_si_gap_nav_ache,runtime_s
linear@0.50x,1.1981873583955516,0.5073299608975084,,-0.08765807516937074,10.25
linear@0.75x,1.2972810375933275,0.26099494134626244,,0.11706173732775427,9.36
linear@1.00x,1.3963747167911034,0.05,-1.7336718357793948,0.28402260467315865,9.89
linear@1.25x,1.495468395988879,0.05,-1.042055158102632,0.41338260436219354,9.92
linear@1.50x,1.594562075186655,0.05,-0.7902143245129317,0.5044140826656136,9.49
saturating@0.50x,1.1996348239458756,0.5014833892761252,,0.5881775663648283,9.58
saturating@0.75x,1.2994522359188136,0.25222508391418785,,0.8366202724570322,9.24
saturating@1.00x,1.3992696478917515,0.05,-1.1498771238118892,0.9999814789506893,9.44
saturating@1.25x,1.4990870598646893,0.05,-0.44326159312185115,1.090565339024282,9.84
saturating@1.50x,1.5989044718376273,0.05,-0.19858955890429944,1.1695331193516088,10.16
weak_biphasic@0.50x,0.8054050681174831,0.26460619346825764,,-0.22844703018609702,10.22
weak_biphasic@0.75x,0.7081076021762248,0.05,,0.05944540973643142,9.94
weak_biphasic@1.00x,0.6108101362349666,0.05,,0.23213466736483301,10.16
weak_biphasic@1.25x,0.5135126702937083,0.05,-2.4070917140311687,0.3719866053107854,9.99
weak_biphasic@1.50x,0.41621520435244963,0.05,-1.6166781605797254,0.4751549231740453,9.72
flylab_biphasic@0.50x,0.4126227778394148,0.5073299608975084,-1.509877039527341,-0.10139259461008687,9.04
flylab_biphasic@0.75x,0.11893416675912216,0.26099494134626244,-1.0603058001482384,0.1123796848664973,9.53
flylab_biphasic@1.00x,0.05,0.05,-0.8836082400406419,0.2769363642937981,9.87
flylab_biphasic@1.25x,0.05,0.05,-0.7789639692699317,0.4083440745197833,9.55
flylab_biphasic@1.50x,0.05,0.05,-0.7063800942351652,0.5007859243023947,9.57
strong_biphasic@0.50x,0.05,0.05,-0.7506792736424797,-1.0079972613989858,9.84
strong_biphasic@0.75x,0.05,0.05,-0.5804750451139211,-0.8304679927702834,9.66
strong_biphasic@1.00x,0.05,0.05,-0.5065732492522648,-0.4888120067113579,9.72
strong_biphasic@1.25x,0.05,0.05,-0.46514097779817754,0.18146371081839674,10.05
strong_biphasic@1.50x,0.05,0.05,-0.424281662704153,0.31174769027230265,10.02
