source,kind,share_of_variance_S1,share_with_interactions_ST,variance_removed_hz2,ci_low,ci_high
gain_transform,categorical,0.4096497698742678,0.6264806479027828,1.290081356802269,0.31256086807181116,0.5001624331362007
weight_threshold,continuous,0.29357557224259245,0.5424303725151057,0.9245370079884832,0.1987612666853245,0.39130919604916053
drive,continuous,0.018555443445925905,0.14121674202113985,0.05843535970772074,-0.0716609947161836,0.11220171357678527
transmitter,continuous,0.006078670560203601,0.023642782102253644,0.019143131866687924,-0.05210207681142646,0.06965580923052817
expression,continuous,-0.005809124285986339,0.00012806053442048645,-0.01829426864562489,-0.058783087902346,0.044256230041565946
potency,continuous,-0.005989859757710479,0.0006784194893530697,-0.018863446220546365,-0.06115133451219928,0.045925733350771346
lif_seed,seed,-0.006741189415684353,0.0,-0.021229556141375117,-0.06185506580751919,0.043437093161159034
hill_n,continuous,-0.007946568350353221,0.0007525711738826337,-0.025025571679174075,-0.06210277198208717,0.04046709008223071
gain_coef,continuous,-0.04565580230843003,0.023822223893828185,-0.14378062364354172,-0.10739018244206512,0.02765398020264121
interactions (higher order),residual,0.3442830879951747,,1.0842266393099944,,
