compound,name,class,cas,receptor,organism,param_type,value_M,ec50_M,relation,species,hill_n,direction,efficacy,evidence_tier,source
acetamiprid,Acetamiprid,neonicotinoid,135410-20-7,insect_nAChR,insect,EC50,5e-08,5e-08,class_extrapolation,insect (review-level class statement),1.2,agonist,1.0,literature_order,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (cyanoamidine neonicotinoids bind insect nAChR with low-nM to tens-of-nM affinity). TYPING NOTE (v0.6): review-level affinity statement; typed as the weaker claim (EC50 / class_extrapolation, evidence distance E3), so it drives functional_engagement_proxy only."
acetamiprid,Acetamiprid,neonicotinoid,135410-20-7,vertebrate_nAChR_a7,vertebrate,EC50,0.00073,0.00073,exact_compound_exact_receptor_other_species,Rattus norvegicus alpha7,1.0,partial_agonist,0.3,literature_order,"Cartereau et al. 2018, Br J Pharmacol 175 (rat alpha7; acetamiprid EC50 0.73 mM)."
acetamiprid,Acetamiprid,neonicotinoid,135410-20-7,vertebrate_nAChR_a4b2,vertebrate,EC50,0.0001,0.0001,class_extrapolation,mammalian (inferred from the alpha7 data),1.0,agonist,0.2,literature_order,"Order-of-magnitude contrast from the mammalian alpha7 data of Cartereau et al. 2018, Br J Pharmacol 175; not a measured alpha4beta2 EC50."
acetamiprid,Acetamiprid,neonicotinoid,135410-20-7,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
acetamiprid,Acetamiprid,neonicotinoid,135410-20-7,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
acetylcholine,Acetylcholine,endogenous transmitter,51-84-3,insect_nAChR,insect,EC50,1e-05,1e-05,exact_compound_related_receptor,Drosophila melanogaster Dalpha1 + Gallus gallus beta2 hybrid (and Dalpha5 homomers),1.2,agonist,1.0,literature_order,"Ihara et al. 2018, Br J Pharmacol 175:1999 (Drosophila Dalpha1/chicken beta2 hybrids; acetylcholine reference responses in the low-micromolar range). Drosophila Dalpha5 homomers report an acetylcholine EC50 of about 8.8 uM."
acetylcholine,Acetylcholine,endogenous transmitter,51-84-3,vertebrate_nAChR_a4b2,vertebrate,EC50,1e-05,1e-05,exact_compound_exact_receptor_other_species,Homo sapiens alpha4beta2 in Xenopus oocytes,1.2,agonist,1.0,literature_order,"Chavez-Noriega et al. 1997, J Pharmacol Exp Ther 280:346 (human alpha4beta2 in oocytes; acetylcholine EC50 in the low-micromolar range)."
acetylcholine,Acetylcholine,endogenous transmitter,51-84-3,vertebrate_nAChR_a7,vertebrate,EC50,0.00016,0.00016,exact_compound_exact_receptor_other_species,Rattus norvegicus alpha7,1.5,agonist,1.0,literature_order,"Cartereau et al. 2018, Br J Pharmacol 175 (rat alpha7; acetylcholine EC50 0.16 mM)."
acetylcholine,Acetylcholine,endogenous transmitter,51-84-3,insect_AChE,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,"class-order placeholder: acetylcholine is the substrate of AChE, not an inhibitor"
acetylcholine,Acetylcholine,endogenous transmitter,51-84-3,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
