cut,n_nodes,n_edges,mean_degree,share_onto_seeds,in_star,compound,n,p_resolution,real_effect,relative_effect,p_ER,p_degree,p_weight,p_sign,p_sign_wm,necessary_information_level,class
scale_1k,1000,22857,22.857,0.06501290633066456,False,fipronil,894,0.0011173184357541898,4.568835443876359,0.5749207286979054,0.0011173184357541898,0.0011173184357541898,0.0022346368715083797,0.33854748603351953,0.6659217877094972,wiring_with_weighted_transmitter_balance,topology-dependent
scale_1k,1000,22857,22.857,0.06501290633066456,False,imidacloprid,894,0.0011173184357541898,-4.755290060747274,-0.5983832993063943,0.42793296089385474,0.49273743016759775,0.0067039106145251395,0.4446927374301676,0.17988826815642459,size_and_composition,topology-dependent
named,1126,1360,1.2078152753108349,0.8485294117647059,True,fipronil,1000,0.000999000999000999,0.8996076235547861,0.1356619639942983,0.000999000999000999,0.006993006993006993,0.005994005994005994,0.11288711288711288,0.2097902097902098,wiring_with_weighted_transmitter_balance,topology-dependent
named,1126,1360,1.2078152753108349,0.8485294117647059,True,imidacloprid,1000,0.000999000999000999,-6.17278216613422,-0.9308633342364611,0.000999000999000999,0.47152847152847155,0.5864135864135864,0.27472527472527475,0.3886113886113886,degree_sequence,composition-dominated
taste_motor,1841,19066,10.356328082563824,0.09598237700618903,False,fipronil,1000,0.000999000999000999,5.944493581459351,0.4143743777977133,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.44755244755244755,0.8411588411588412,wiring_with_weighted_transmitter_balance,topology-dependent
taste_motor,1841,19066,10.356328082563824,0.09598237700618903,False,imidacloprid,1000,0.000999000999000999,-12.23073546730731,-0.8525710945472482,0.000999000999000999,0.000999000999000999,0.06293706293706294,0.07092907092907093,0.8921078921078921,topology_without_weight_pairing,topology-dependent
scale_5k,5000,279845,55.969,0.006042630742017903,False,fipronil,77,0.01282051282051282,0.3361071765645265,0.2576886391344357,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.08974358974358974,0.11538461538461539,wiring_with_weighted_transmitter_balance,topology-dependent
scale_5k,5000,279845,55.969,0.006042630742017903,False,imidacloprid,77,0.01282051282051282,-0.6780034084602358,-0.5198156654684973,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.038461538461538464,0.02564102564102564,real_connectome,topology-dependent
scale_10k,10000,621600,62.16,0.0027203989703989706,False,fipronil,35,0.027777777777777776,0.15123231683668337,0.23057876557470877,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.1111111111111111,wiring_with_weighted_transmitter_balance,topology-dependent
scale_10k,10000,621600,62.16,0.0027203989703989706,False,imidacloprid,35,0.027777777777777776,-0.34321529468796597,-0.5232886768571616,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,real_connectome,topology-dependent
scale_25k,25000,1364375,54.575,0.0012393953275309207,False,fipronil,20,0.047619047619047616,0.06387880500666127,0.23245134289620123,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,wiring_with_weighted_transmitter_balance,topology-dependent
scale_25k,25000,1364375,54.575,0.0012393953275309207,False,imidacloprid,20,0.047619047619047616,-0.1498151852424205,-0.5451689491093685,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.38095238095238093,0.14285714285714285,wiring_with_weighted_transmitter_balance,topology-dependent
scale_50k,50000,2216881,44.33762,0.0007627833880122568,False,fipronil,20,0.047619047619047616,0.033669992129486404,0.24044281000838968,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523,wiring_with_weighted_transmitter_balance,topology-dependent
scale_50k,50000,2216881,44.33762,0.0007627833880122568,False,imidacloprid,20,0.047619047619047616,-0.07754306127132168,-0.5537474281855058,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.8571428571428571,0.5714285714285714,wiring_with_weighted_transmitter_balance,topology-dependent
