compound,assay,readout,mode,information_kept,rank,n,n_ok,real_effect,p_two_sided,p_resolution,beats_null,n_stabilised,z,null_mean,null_sd,runtime_s
imidacloprid,subgraph,mean_hz,sign_permute,"the real edges, the real weights and the NT histogram",3,1000,1000,-6.17278216613422,0.27472527472527475,0.000999000999000999,False,50,-1.2291197992117913,-3.671976892707965,2.034631022159084,1.65
imidacloprid,subgraph,mean_hz,weight_permute,the real edge list and the transmitters,2,1000,1000,-6.17278216613422,0.5864135864135864,0.000999000999000999,False,400,-0.5018759338600395,-6.076581566723984,0.19168203318763566,1.65
imidacloprid,subgraph,mean_hz,rewire_degree_preserving,every node's in/out degree and its transmitter,1,1000,1000,-6.17278216613422,0.47152847152847155,0.000999000999000999,False,400,-0.7203920758994491,-6.05637765171639,0.1615849456318531,26.04
imidacloprid,subgraph,mean_hz,erdos_renyi,"N, E, the weight histogram and the transmitter census",0,1000,1000,-6.17278216613422,0.000999000999000999,0.000999000999000999,True,50,-47.073553597145505,-0.18607818720112945,0.1271776511747377,1.98
fipronil,subgraph,mean_hz,sign_permute,"the real edges, the real weights and the NT histogram",3,1000,1000,0.8996076235547861,0.11288711288711288,0.000999000999000999,False,100,1.6804375405898477,0.4701780412893342,0.2555462918989054,1.63
fipronil,subgraph,mean_hz,weight_permute,the real edge list and the transmitters,2,1000,1000,0.8996076235547861,0.005994005994005994,0.000999000999000999,True,50,3.1081154079500792,0.5885693007938234,0.10007296446115696,1.63
fipronil,subgraph,mean_hz,rewire_degree_preserving,every node's in/out degree and its transmitter,1,1000,1000,0.8996076235547861,0.006993006993006993,0.000999000999000999,True,200,2.952113032120801,0.6664021432168629,0.07899612169334456,27.08
fipronil,subgraph,mean_hz,erdos_renyi,"N, E, the weight histogram and the transmitter census",0,1000,1000,0.8996076235547861,0.000999000999000999,0.000999000999000999,True,50,657.4085945220143,0.00019204853076703964,0.0013681226295466401,1.95
fipronil,taste_map,bitter_veto_ratio,sign_permute,"the real edges, the real weights and the NT histogram",3,300,275,0.41261581231925487,0.4166666666666667,0.0036231884057971015,False,,0.10528405393322808,-6.059751231550391,61.47528331284117,3.75
fipronil,taste_map,bitter_veto_ratio,weight_permute,the real edge list and the transmitters,2,300,263,0.41261581231925487,0.8787878787878788,0.003787878787878788,False,,0.08338722294294257,0.35191054795255927,0.7279923976870291,3.78
fipronil,taste_map,bitter_veto_ratio,rewire_degree_preserving,every node's in/out degree and its transmitter,1,300,300,0.41261581231925487,0.2026578073089701,0.0033222591362126247,False,,0.2199798112275568,-0.5460641970432888,4.35803633075602,81.22
fipronil,taste_map,bitter_veto_ratio,erdos_renyi,"N, E, the weight histogram and the transmitter census",0,300,285,0.41261581231925487,0.24475524475524477,0.0034965034965034965,False,,0.19844034305095073,-3.1957943864997773,18.18385386429488,5.12
