compound,assay,readout,mode,n,n_ok,real_effect,null_mean,null_sd,z,p_two_sided,runtime_s
imidacloprid,subgraph,mean_hz,sign_permute,50,50,-6.172782166134219,-3.8149099205235935,1.9206536281664317,-1.227640533947596,0.2549019607843137,3.76
imidacloprid,subgraph,mean_hz,weight_permute,50,50,-6.172782166134219,-6.086772861991876,0.1608633624488979,-0.5346730469448319,0.5294117647058824,3.58
imidacloprid,subgraph,mean_hz,rewire_degree_preserving,50,50,-6.172782166134219,-6.043109710133214,0.16336975300040732,-0.7937360106107395,0.37254901960784315,6.11
imidacloprid,subgraph,mean_hz,erdos_renyi,50,50,-6.172782166134219,-0.19802991262507763,0.13078615095220456,-45.68337098392473,0.0196078431372549,3.78
imidacloprid,taste_map,bitter_veto_ratio,sign_permute,10,4,,-0.1570235417834394,0.734849802688103,,,8.75
imidacloprid,taste_map,bitter_veto_ratio,weight_permute,10,0,,,0.0,,,7.93
imidacloprid,taste_map,bitter_veto_ratio,rewire_degree_preserving,10,9,,0.3203752519663656,1.9848605088854154,,,12.52
imidacloprid,taste_map,bitter_veto_ratio,erdos_renyi,10,9,,19038.965510531834,56618.79288142193,,,8.29
fipronil,subgraph,mean_hz,sign_permute,50,50,0.899607623554787,0.471648742564251,0.25447950392960983,1.6817027476951987,0.17647058823529413,3.57
fipronil,subgraph,mean_hz,weight_permute,50,50,0.899607623554787,0.5655056362753538,0.09907913203086166,3.372072205632216,0.0196078431372549,3.89
fipronil,subgraph,mean_hz,rewire_degree_preserving,50,50,0.899607623554787,0.6628841222515205,0.07848883821183571,3.0160148461411396,0.0392156862745098,6.12
fipronil,subgraph,mean_hz,erdos_renyi,50,50,0.899607623554787,0.00012825036698659086,0.0006637008297918406,1355.248227533342,0.0196078431372549,3.64
fipronil,taste_map,bitter_veto_ratio,sign_permute,10,10,0.412615812319255,0.5332421264712075,0.5997905115694337,-0.20111407537327874,0.6363636363636364,8.22
fipronil,taste_map,bitter_veto_ratio,weight_permute,10,10,0.412615812319255,0.3274558767646324,0.3421883606009505,0.24886859215510687,0.8181818181818182,8.01
fipronil,taste_map,bitter_veto_ratio,rewire_degree_preserving,10,10,0.412615812319255,-0.007968771448330858,0.913021670319279,0.4606512610160825,0.5454545454545454,12.32
fipronil,taste_map,bitter_veto_ratio,erdos_renyi,10,10,0.412615812319255,-2.529670567166547,4.138746952777327,0.7109123638282273,0.45454545454545453,8.48
