compound,class,graph,receptor_pair,receptor_si_log10,circuit_threshold_M,vertebrate_threshold_M,circuit_si_log10,si_gap_circuit_minus_receptor,max_rel_change,frac_ach_synapses,frac_gaba_synapses,skipped_reason
acetamiprid,neonicotinoid,named,nAChR,3.3010299956639813,9.753588971361666e-08,2.5e-05,2.4087755587524287,-0.8922544369115526,0.9308633342364611,0.6188311115034872,0.3007857332038492,
acetamiprid,neonicotinoid,taste_motor,nAChR,3.3010299956639813,9.630935367370797e-08,2.5e-05,2.414271540326263,-0.8867584553377181,0.8525710945472482,0.5868443687762142,0.30350172470360814,
acetylcholine,endogenous transmitter,named,nAChR,0.0,1.963943730156571e-05,3.149802624737183e-06,-0.7948456999007858,-0.7948456999007858,0.9308633342364611,0.6188311115034872,0.3007857332038492,
acetylcholine,endogenous transmitter,taste_motor,nAChR,0.0,1.9997669843447523e-05,3.149802624737183e-06,-0.8026960534495124,-0.8026960534495124,0.8525710945472482,0.5868443687762142,0.30350172470360814,
caffeine,methylxanthine,named,,,,,,,,0.6188311115034872,0.3007857332038492,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
caffeine,methylxanthine,taste_motor,,,,,,,,0.5868443687762142,0.30350172470360814,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
chlordimeform,formamidine,named,,,,,,,0.0,0.6188311115034872,0.3007857332038492,
chlordimeform,formamidine,taste_motor,,,,,,,0.0,0.5868443687762142,0.30350172470360814,
chlorpyrifos_oxon,organophosphate (oxon metabolite),named,,,,,,,,0.6188311115034872,0.3007857332038492,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
chlorpyrifos_oxon,organophosphate (oxon metabolite),taste_motor,,,,,,,,0.5868443687762142,0.30350172470360814,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
clothianidin,neonicotinoid,named,nAChR,3.522878745280338,5.921818922734351e-08,2.5e-05,2.625484885264079,-0.8973938600162588,0.9308633342364611,0.6188311115034872,0.3007857332038492,
clothianidin,neonicotinoid,taste_motor,nAChR,3.522878745280338,6.03772126641474e-08,2.5e-05,2.61706694888396,-0.9058117963963777,0.8525710945472482,0.5868443687762142,0.30350172470360814,
ddt,organochlorine,named,Nav,1.1870866433571445,1.0722707580748198e-05,0.00025,1.3676355461786587,0.18054890282151415,2.924329608944152,0.6188311115034872,0.3007857332038492,
ddt,organochlorine,taste_motor,Nav,1.1870866433571445,1.1043426929115513e-05,0.00025,1.3548361467406957,0.1677495033835512,1.945115994189779,0.5868443687762142,0.30350172470360814,
deltamethrin,type II pyrethroid,named,Nav,2.065501548756432,6.5366894677292685e-09,1.25e-06,2.281552159165738,0.21605061040930584,5.755973991100234,0.6188311115034872,0.3007857332038492,
deltamethrin,type II pyrethroid,taste_motor,Nav,2.065501548756432,6.7624488955838246e-09,1.25e-06,2.2668060168823114,0.20130446812587932,3.8248137750907354,0.5868443687762142,0.30350172470360814,
diazepam,benzodiazepine,named,,,,,,,,0.6188311115034872,0.3007857332038492,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
diazepam,benzodiazepine,taste_motor,,,,,,,,0.5868443687762142,0.30350172470360814,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
dieldrin,cyclodiene organochlorine,named,GABA_A,1.0,,2.5e-07,,,0.13566196399429847,0.6188311115034872,0.3007857332038492,
dieldrin,cyclodiene organochlorine,taste_motor,GABA_A,1.0,,2.5e-07,,,0.4143743777977133,0.5868443687762142,0.30350172470360814,
fipronil,phenylpyrazole,named,GABA_A,1.5642714304385628,,2.75e-07,,,0.13566196399429847,0.6188311115034872,0.3007857332038492,
fipronil,phenylpyrazole,taste_motor,GABA_A,1.5642714304385628,,2.75e-07,,,0.4143743777977133,0.5868443687762142,0.30350172470360814,
gaba,endogenous transmitter,named,GABA_A,-0.6989700043360187,,3.968502629920499e-06,,,0.03244837551386856,0.6188311115034872,0.3007857332038492,
gaba,endogenous transmitter,taste_motor,GABA_A,-0.6989700043360187,,3.968502629920499e-06,,,0.0694065018292579,0.5868443687762142,0.30350172470360814,
imidacloprid,neonicotinoid,named,nAChR,2.6989700043360187,4.0210203852332524e-08,2.5e-06,1.793603733835261,-0.9053662705007577,0.9308633342364611,0.6188311115034872,0.3007857332038492,
imidacloprid,neonicotinoid,taste_motor,nAChR,2.6989700043360187,4.0526909833436914e-08,2.5e-06,1.7901965185116522,-0.9087734858243666,0.8525710945472482,0.5868443687762142,0.30350172470360814,
ivermectin,avermectin,named,GluCl,1.6989700043360187,,2.5e-07,,,0.0056401363945177444,0.6188311115034872,0.3007857332038492,
ivermectin,avermectin,taste_motor,GluCl,1.6989700043360187,,2.5e-07,,,0.0037118955059856095,0.5868443687762142,0.30350172470360814,
nicotine,alkaloid,named,nAChR,0.6989700043360189,4.2666353973946507e-07,3.149802624737183e-07,-0.1318021915270684,-0.8307721958630873,0.9308633342364611,0.6188311115034872,0.3007857332038492,
nicotine,alkaloid,taste_motor,nAChR,0.6989700043360189,4.304638098448084e-07,3.149802624737183e-07,-0.13565330455514335,-0.8346233088911622,0.8525710945472482,0.5868443687762142,0.30350172470360814,
nitenpyram,neonicotinoid,named,nAChR,2.6020599913279625,9.753588971361666e-08,5e-06,1.70980555441641,-0.8922544369115526,0.9308633342364611,0.6188311115034872,0.3007857332038492,
nitenpyram,neonicotinoid,taste_motor,nAChR,2.6020599913279625,9.630935367370797e-08,5e-06,1.7153015359902444,-0.8867584553377181,0.8525710945472482,0.5868443687762142,0.30350172470360814,
permethrin,type I pyrethroid,named,,,6.004762270454635e-08,,,,5.754773828305756,0.6188311115034872,0.3007857332038492,
permethrin,type I pyrethroid,taste_motor,,,6.169253473111401e-08,,,,3.8203989947836776,0.5868443687762142,0.30350172470360814,
picrotoxin,plant convulsant,named,GABA_A,0.0,,2.5e-07,,,0.13566196399429847,0.6188311115034872,0.3007857332038492,
picrotoxin,plant convulsant,taste_motor,GABA_A,0.0,,2.5e-07,,,0.4143743777977133,0.5868443687762142,0.30350172470360814,
spinosad,spinosyn,named,,,,,,,,0.6188311115034872,0.3007857332038492,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
spinosad,spinosyn,taste_motor,,,,,,,,0.5868443687762142,0.30350172470360814,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
sulfoxaflor,sulfoximine,named,,,,,,,,0.6188311115034872,0.3007857332038492,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
sulfoxaflor,sulfoximine,taste_motor,,,,,,,,0.5868443687762142,0.30350172470360814,every insect receptor row for this compound is a class placeholder: it cannot move the fly circuit by construction
thiamethoxam,neonicotinoid,named,,,,,,,0.2168221484627684,0.6188311115034872,0.3007857332038492,
thiamethoxam,neonicotinoid,taste_motor,,,,,,,0.2299861367920664,0.5868443687762142,0.30350172470360814,
